#傳	𫝊 傳
躊	踌 躊
躲	躱 躲
軀	躯 軀
輕	軽 輕
輛	輌 輛
轀	輼 轀
轉	転 轉
轟	軣 轟
辨	弁 辨
辭	辞 辭
辯	弁 辯
遙	遥 遙
遞	逓 遞
遲	遅 遲
邁	迈 邁
邇	迩 邇
邊	辺 邊
鄉	郷 鄉
鄕	郷 鄕
酇	鄼 酇
醉	酔 醉
醞	醖 醞
醫	医 醫
醬	醤 醬
醱	醗 醱
釀	醸 釀
釋	釈 釋
銳	鋭 銳
錄	録 錄
錢	銭 錢
鍊	錬 鍊
鐵	鉄 鐵
鐸	鈬 鐸
鑄	鋳 鑄
鑛	鉱 鑛
鑪	鈩 鑪
鑽	鑚 鑽
钂	鎲 钂
閱	閲 閱
關	関 關
附	付 附
陷	陥 陷
隨	随 隨
險	険 險
隯	陦 隯
隱	隠 隱
隸	隷 隸
雙	双 雙
雜	雑 雜
雞	鶏 雞
霸	覇 霸
靈	霊 靈
靜	静 靜
靱	靭 靱
頰	頬 頰
頸	頚 頸
顏	顔 顏
顯	顕 顯
餘	余 餘
馱	駄 馱
騷	騒 騷
驅	駆 驅
驒	騨 驒
驗	験 驗
驛	駅 驛
髏	髅 髏
髓	髄 髓
體	体 體
髮	髪 髮
鬥	闘 鬥
鬪	闘 鬪
鰮	鰛 鰮
鰺	鯵 鰺
鶫	鶇 鶫
鶯	鴬 鶯
鷄	鶏 鷄
鷗	鴎 鷗
鹼	鹸 鹼
鹽	塩 鹽
麥	麦 麥
麩	麸 麩
麴	麹 麴
麵	麺 麵
黃	黄 黃
黑	黒 黑
默	黙 默
點	点 點
黨	党 黨
黲	黪 黲
鼠	鼡 鼠
齊	斉 齊
齋	斎 齋
齒	歯 齒
齡	齢 齡
齧	噛 齧
龍	竜 龍
龜	亀 龜
龝	穐 龝
粵	粤 粵
鄰	隣 鄰
